Title	Rule	Severity	Scope	Language	Buckets
PR must reference external issue or ticket	"PRs must reference at least one external issue or ticket from issue tracking systems (Jira, Linear, GitHub Issues, etc.) in the PR title or description. Follow these steps: (1) Check `pr_title` and `pr_description` context variables to extract ticket references. Look for patterns like ""PROJ-123"", ""ABC-456"", ""#789"", ""LIN-123"", or explicit mentions like ""Refs:"", ""Closes:"", ""Related to:"". (2) For each ticket reference found, use the appropriate MCP tool to validate: If reference matches Jira format (e.g., PROJ-123), use @mcp<jira|get_issue> tool with the issue key. If reference matches Linear format (e.g., LIN-123), use @mcp<linear|get_issue> tool with the issue identifier. If reference matches GitHub format (e.g., #123), use @mcp<github|get_issue> tool with the issue number. (3) Verify that the ticket exists, is accessible, and is in an appropriate state (not closed/resolved unless the PR is closing it). (4) If no valid ticket reference is found or tickets don't exist, create a suggestion requiring the PR author to add a valid ticket reference in the format appropriate for their issue tracking system."	Medium	pull-request		[pr-hygiene,maintainability]
Bug-related PRs must reference Sentry issues	"If a PR has a ""bug"" tag in `pr_tags`, mentions bug fixes in `pr_title` or `pr_description`, or contains error-related keywords (error, bug, fix, crash, exception), it must reference a corresponding Sentry issue. Follow these steps: (1) Extract error messages, file paths, or error types from `pr_description` and `pr_title`. (2) Use @mcp<sentry|search_events> tool with a natural language query containing the error message or file path. Search for events from the past 30 days that match the error description. Include the issue ID in the query results. (3) If events are found, use @mcp<sentry|get_issue_details> tool with the issue ID from the search results to retrieve specific issue details including stack traces, affected users, and frequency. (4) If no events are found, use @mcp<sentry|search_issues> tool with keywords from the PR description to find related grouped issues. (5) Based on the Sentry tool results, create a specific suggestion showing the Sentry issue ID, URL, and any relevant error details that should be included in the PR description. The PR description must include the Sentry issue ID or URL."	High	pull-request		[pr-hygiene,error-handling,observability-logging]
New API routes must be documented in routes file	When new API routes, endpoints, or routes are added to the codebase, they must be documented in the appropriate routes documentation file. Follow these steps: (1) Check `pr_files_diff` to identify route additions. Look for new route definitions in controllers, route files, or API definition files. Extract route paths, HTTP methods (GET, POST, PUT, DELETE), and endpoint names. (2) Use @mcp<kodus|kodus_get_repository_files> tool with file patterns like 'routes.json', 'openapi.yaml', 'swagger.json', 'api-docs.md', or '**/routes/**' to locate route documentation files in the repository. (3) For each documentation file found, use @mcp<kodus|kodus_get_repository_content> tool to retrieve the file content. (4) Verify documentation: Check if each new route identified in step 1 is documented with: HTTP method, full path, request parameters (query params, path params, body schema), response schema, and description. (5) If routes are missing from documentation, create a specific suggestion listing each undocumented route and requiring that it be added to the appropriate documentation file with all required fields.	High	pull-request		[api-conventions,docs-adrs,maintainability]
Error mentions in PR must reference Sentry issues	If `pr_description` or `pr_title` mentions fixing an error, exception, crash, or production issue, it must reference a corresponding Sentry issue. Follow these steps: (1) Extract the exact error message, exception type, or error description from `pr_description` or `pr_title`. (2) Use @mcp<sentry|search_events> tool with a natural language query based on the extracted error message. Search for events from the past 30 days. Include file paths mentioned in the PR (from `pr_files_diff`) in the search query to find events where stack.filename matches the changed files. Include the issue ID in the query results. (3) Use @mcp<sentry|get_issue_details> tool with the issue ID found in the search events to retrieve specific issue details including error frequency, affected users, stack traces, and recent occurrences. (4) If you have relevant information from the Sentry tool results, create a specific suggestion for the situation showing: the Sentry issue ID, the issue URL, any problems encountered (error frequency, user impact), and require that this information be added to the PR description. The PR description must include the Sentry issue ID or URL.	High	pull-request		[error-handling,observability-logging,pr-hygiene]
PRs must follow organizational description template	PRs must follow the organizational PR description template defined in the repository. Follow these steps: (1) Use @mcp<kodus|kodus_get_repository_files> tool to locate PR template files. Search for common template locations: '.github/PULL_REQUEST_TEMPLATE.md', 'docs/pr-template.md', '.github/pull_request_template.md', or '**/*template*.md'. (2) Use @mcp<kodus|kodus_get_repository_content> tool to retrieve the template file content. Extract the required sections from the template (e.g., Motivation, Approach, Testing, Risk Assessment, Description, Checklist). (3) Compare `pr_description` against the template structure: Check if all required sections from the template are present in `pr_description`. Verify that each section has meaningful content, not just placeholder text. (4) If sections are missing or incomplete, create a specific suggestion listing which template sections are missing or incomplete and require that they be added to the PR description with appropriate content.	Low	pull-request		[pr-hygiene,docs-adrs]
Database schema changes must validate migrations	When code changes involve database schema modifications, corresponding database migration files must be created and validated. Follow these steps: (1) Check `pr_files_diff` for database schema changes: Look for migration files (migrations/, db/migrations/, alembic/versions/, flyway/, liquibase/), schema definition files, or model files with database changes. Identify new tables, column additions/modifications, index changes, constraint modifications, or data migrations. (2) Verify migration files exist: For each schema change identified, check if a corresponding migration file exists in `pr_files_diff`. Migration files should follow naming conventions (timestamp_description.sql or version_description format). (3) Use database MCP tools to validate migrations: For PostgreSQL, use @mcp<postgres|validate_migration> tool with the migration file content to verify syntax, check for potential issues, and validate rollback scripts. For MySQL, use @mcp<mysql|validate_migration> tool. For generic database tools, use @mcp<database|validate_migration> tool. Use @mcp<database|check_schema> tool to verify the migration aligns with current schema state. (4) Verify migration completeness: Check that migrations include both 'up' and 'down' (rollback) scripts. Verify that migrations are idempotent and can be applied safely. (5) If migrations are missing or invalid, create a specific suggestion requiring migration files with details about what schema changes need migrations and what validation errors were found.	Critical	pull-request		[database-query-performance,migrations-backward-compat,security-hardening]
Changes must verify monitoring alerts configuration	When code changes affect system behavior, performance, error rates, or introduce new features, corresponding monitoring alerts and dashboards should be verified or updated. Follow these steps: (1) Analyze `pr_files_diff` and `pr_description` to identify affected areas: new API endpoints, modified database queries, changed error handling, performance-critical code paths, or new features. (2) Extract service names, endpoint paths, metric names, or feature identifiers from the code changes. (3) Use monitoring MCP tools to verify alerts: For Datadog, use @mcp<datadog|get_alerts> tool with the service name or metric name to check if alerts exist for error rate, latency, or throughput related to the changed code. For New Relic, use @mcp<newrelic|get_alerts> tool with application name and alert policy names to verify coverage. For Prometheus, use @mcp<prometheus|get_rules> tool to check if alerting rules exist for metrics related to the changes. For CloudWatch (AWS), use @mcp<cloudwatch|get_alarms> tool with metric names and namespace to verify alarm configuration. (4) If no alerts are found for critical changes (new endpoints, error handling changes, performance modifications), create a specific suggestion requiring alert configuration with details about what metrics should be monitored (error rate, latency, throughput, etc.).	Medium	pull-request		[observability-logging,performance-efficiency,maintainability]
Dependency changes must be scanned for vulnerabilities	When code changes include dependency updates (check `pr_files_diff` for package.json, requirements.txt, pom.xml, Gemfile, go.mod, Cargo.toml, or similar dependency files), the new dependencies must be scanned for known vulnerabilities. Follow these steps: (1) Identify which dependency files were modified in `pr_files_diff`. Extract the list of added or updated package names and versions. (2) Use @mcp<snyk|test_project> tool with the repository path and package manager type to scan for vulnerabilities in the updated dependencies. Alternatively, use @mcp<snyk|get_vulnerabilities> tool with specific package names and versions. (3) Review the vulnerability results: Check for high or critical severity vulnerabilities (CVSS score >= 7.0). Verify if vulnerabilities affect the specific versions being added/updated. (4) If vulnerabilities are found, create a specific suggestion showing: the vulnerable package name and version, the vulnerability CVE ID or Snyk ID, severity level, affected version range, and recommended fix (upgrade to safe version or alternative package). Require that high/critical vulnerabilities be addressed before merging. (5) If using OWASP Dependency Check, use @mcp<owasp|scan_dependencies> tool to perform additional security scanning and cross-reference results.	Critical	pull-request		[security-hardening,dependency-supply-chain]
Security vulnerabilities must reference security scanning results	If a PR addresses security vulnerabilities, fixes security issues, or modifies security-sensitive code (check `pr_tags` for 'security', `pr_files_diff` for security-related files, or `pr_description` for security keywords), it must reference results from security scanning tools. Follow these steps: (1) Identify security-related changes: Check if `pr_tags` contains 'security', if files in `pr_files_diff` are in security/ or contain authentication/authorization logic, or if `pr_description` mentions security fixes. (2) Use security scanning MCP tools: For Snyk, use @mcp<snyk|test_project> tool to scan the repository for vulnerabilities. For OWASP Dependency Check, use @mcp<owasp|scan_dependencies> tool to scan dependencies. For SonarQube security hotspots, use @mcp<sonarqube|get_hotspots> tool to check for security issues. (3) Extract vulnerability information: Get CVE IDs, severity levels, affected components, and remediation recommendations from the scan results. (4) Verify that `pr_description` references the security scan results: Check if it mentions the CVE ID, Snyk/OWASP issue ID, or provides a link to the security scan report. (5) If security fixes are present but no scan results are referenced, create a suggestion requiring the PR author to include security scan results or explain why scanning was not performed.	High	pull-request		[security-hardening,pr-hygiene]
Jira tickets referenced in PR must be validated	If a PR references a Jira ticket (check `pr_title` and `pr_description` for Jira ticket patterns like PROJ-123, ABC-456, or explicit 'Refs: PROJ-123'), the ticket must exist and be accessible. Follow these steps: (1) Extract Jira ticket keys from `pr_title` and `pr_description`. Look for patterns matching [A-Z]+-[0-9]+ format. (2) For each Jira ticket key found, use @mcp<jira|get_issue> tool with the issue key (e.g., 'PROJ-123') to retrieve ticket details. (3) Verify ticket information: Check that the ticket exists, is accessible, has a valid status, and matches the PR's purpose. If the PR is closing the ticket, verify the ticket is in a closable state. (4) Extract relevant ticket information: Get ticket title, description, status, assignee, and related information that should be reflected in the PR. (5) If ticket is not found or inaccessible, create a suggestion requiring a valid Jira ticket reference. If ticket exists but status/details don't match PR purpose, create a suggestion to update the ticket or clarify the relationship. (6) Ensure `pr_description` includes the Jira ticket key in a clear format like 'Refs: PROJ-123' or 'Closes: PROJ-123'.	Medium	pull-request		[pr-hygiene,maintainability]
